clone,n_cells,avg_depth,edit_sites,site_edit_frac,detection_rate
1,1167,1.0,21,0.00940822278671559,81.98713366690494
2,811,11.081381011097411,33,96.2251840805294,78.16833590138674
3,697,14.031563845050215,48,64.7818876075134,74.35551558752998
4,691,11.234442836468885,33,87.22603497896834,76.8052269911006
5,666,9.956456456456456,39,81.6683340479253,79.51203920733006
6,579,10.526770293609673,33,93.6859847011539,77.996177996178
7,456,10.366228070175438,36,80.4064734663154,74.02912621359224
8,442,9.212669683257918,39,83.30917690136548,70.94314381270902
9,468,10.788461538461538,33,84.48178366588579,75.979834119369
10,480,8.235416666666667,30,83.96809749977596,75.75418994413408
11,400,8.3625,33,85.26666666666667,74.83799296426588
12,347,10.167146974063401,42,81.05532515662225,72.31157363607696
13,378,8.100529100529101,33,88.35018837993258,78.74608150470218
14,398,5.311557788944723,45,26.498040612753833,77.51173708920187
15,360,4.822222222222222,45,31.332126839247778,77.2609819121447
16,318,8.927672955974844,42,83.52431391429947,75.09398496240603
17,299,8.986622073578594,39,75.46039494120257,73.63848272939181
18,299,8.03010033444816,36,92.75215976663301,78.43546889507893
19,311,8.311897106109324,39,80.0,75.78427159432745
20,294,10.65986394557823,45,81.13357904173722,71.79775280898876
21,299,8.247491638795987,30,71.13873410487213,74.6704871060172
22,307,8.280130293159608,39,89.75302154492906,77.46766507828455
23,210,8.252380952380953,36,87.91743581137776,73.9814814814815
24,228,8.280701754385966,54,87.18720797424982,75.02088554720133
25,203,8.536945812807883,27,86.13171499213307,74.66329966329967
26,213,8.647887323943662,33,74.50192240475359,75.71131158917419
27,209,10.07177033492823,33,74.05761024182077,78.15918521312712
28,213,7.652582159624413,63,88.86092468307233,77.57102841136454
29,210,2.4761904761904763,45,14.545941601928744,77.63347763347763
30,197,8.01015228426396,42,81.63447251114412,78.00751879699247
31,176,2.5454545454545454,33,4.533495243877757,81.15299334811532
32,157,8.012738853503185,36,72.96717442608882,76.04166666666666
33,157,7.694267515923567,33,84.07364787111624,81.46067415730337
34,153,7.281045751633987,45,95.16735278324683,79.29411764705883
35,120,10.2,57,82.29902616001527,70.57862046420398
36,145,6.5793103448275865,30,67.34104046242774,78.26923076923077
37,125,7.936,60,88.9500860585198,75.14084507042253
38,124,7.362903225806452,66,84.67864757843437,79.01844532279316
39,112,6.267857142857143,42,86.16910229645094,77.28249194414607
40,87,7.206896551724138,48,85.39435248296007,71.12268518518519
41,91,8.978021978021978,60,86.90045248868779,77.97169811320755
42,82,7.987804878048781,42,90.0774102744546,77.11511789181694
43,76,7.2368421052631575,51,69.61107448912327,72.0
44,75,6.973333333333334,33,63.687150837988824,73.11004784688994
45,57,7.9298245614035086,30,94.6268656716418,65.48780487804878
46,62,6.258064516129032,33,87.40920096852301,71.84035476718404
47,71,6.422535211267606,45,91.13672496025437,75.52845528455285
48,69,6.463768115942029,33,91.92030990592141,76.5432098765432
49,46,7.630434782608695,36,78.72034507548527,68.69658119658119
50,59,4.5423728813559325,33,32.322580645161295,78.00982800982801
51,51,7.882352941176471,36,91.28966914247131,74.12935323383084
52,46,6.260869565217392,51,70.27600849256899,71.63187855787476
53,50,7.76,30,69.25764192139738,70.16129032258065
54,43,5.511627906976744,21,83.97350993377484,73.8095238095238
55,51,6.588235294117647,30,89.48655256723717,78.92857142857143
56,41,6.7560975609756095,48,94.96004917025199,75.96153846153845
57,43,4.348837209302325,24,63.04093567251462,79.59183673469387
58,41,5.7073170731707314,33,84.50704225352112,75.8220502901354
59,36,5.888888888888889,57,83.07783018867924,80.82706766917292
60,28,4.75,33,87.68606224627875,73.2620320855615
61,18,3.7222222222222223,30,70.6546275395034,65.86206896551725
62,25,2.68,57,17.905102954341988,77.38791423001949
63,23,5.086956521739131,45,90.15421115065243,83.47826086956522
64,19,3.736842105263158,42,80.63583815028902,81.4935064935065
